web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620528338-16449,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,Venta de Casa en Privada Regency Jurica Queretaro,"MN 16,500,000",3 rec.,"4
					
						baños",780 m²
1620528273-16330,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,"Casa en Venta, en Fraccionamiento Jurica Campestre, Querétaro","MN 10,000,000",5 rec.,"4
					
						baños",2216 m²
1620528210-16188,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-16.html,"Preciosa Residencia de Autor en Jurica, Nueva, Alberca, 4 Re","MN 10,500,000",4 rec.,"4
					
						baños",555 m²
1620528327-16420,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,"Casa en Venta Arco de Piedra, Jurica Querétaro","MN 8,150,000",3 rec.,"3
					
						baños",304 m²
1620528289-16347,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-9.html,Jurica Casa en Venta Se un Nivel con Increible Diseño,"MN 20,000,000",3 rec.,"3
					
						baños",2060 m²
1620528365-16533,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-2.html,"Venta Casa Estilo Mexicano Contemporáneo en Jurica, Querétaro!","MN 10,990,000",4 rec.,"4
					
						baños",1000 m²
1620528273-16340,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,"Casa en Ciruelos de Jurica, Querétaro","MN 2,870,000",2 rec.,"2
					
						baños",231 m²
1620528219-16207,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,Casa en Venta Estilo Mexicano,"MN 9,500,000",4 rec.,"4
					
						baños",890 m²
1620528338-16457,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,"Residencia Premium en Jurica, T.525 m² - C.450 m² - 3 Recáma","MN 8,600,000",3 rec.,"4
					
						baños",525 m²
1620528201-16163,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-17.html,"Jurica, Jacarandas","MN 7,300,000",4 rec.,"4
					
						baños",1000 m²
1620528236-16248,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,Hermosa Casa en Venta de un Nivel en Privada Jurica,"MN 11,500,000",2 rec.,"4
					
						baños",918 m²
1620528273-16342,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,Venta de Casa en Jurica Queretaro Gran Jardin,"MN 7,130,000",4 rec.,"4
					
						baños",525 m²
1620528374-16541,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-1.html,Casa en Venta Jurica Arco de Piedra,"MN 9,200,000",3 rec.,"4
					
						baños",271 m²
1620528245-16293,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-12.html,Casa en Venta - Jurica - Queretaro - C1308,"MN 3,320,000",3 rec.,"2
					
						baños",210 m²
1620528314-16393,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-7.html,"Residencia Premium en Jurica, T.525 m² - C.450 m² - 3 Recáma","MN 8,600,000",3 rec.,"4
					
						baños",525 m²
1620528338-16445,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,Casa en Venta en Jurica,"MN 20,000,000",4 rec.,"5
					
						baños",1050 m²
1620528289-16343,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-9.html,Casa en Venta Jurica 3 Habitaciones,"MN 3,320,019",3 rec.,"2
					
						baños",210 m²
1620528348-16466,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,Jurica Hermosa Casa Estilo Mexicano Contemporaneo,"MN 8,500,000",3 rec.,"4
					
						baños",582 m²
1620528273-16325,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,Bellisima Residencia con Alberca Privada en Jurica de 750 m Rcs19 - 1921,"MN 11,350,000",5 rec.,"6
					
						baños",960 m²
1620528327-16425,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,"Linda Casa en Jurica, de Oportunidad! C.401 m², Gran Ubica","MN 4,800,000",4 rec.,"3
					
						baños",254 m²
1620528314-16404,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-7.html,Casa en Venta en Jurica Querétaro,"MN 12,000,000",4 rec.,"4
					
						baños",650 m²
1620528298-16387,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,"Venta de Exclusiva Residencia con Alberca, Jurica Querétaro","MN 27,000,000",4 rec.,"6
					
						baños",2900 m²
1620528314-16401,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-7.html,Casa con Alberca Privada en Venta Dentro de Privada en Jurica,"MN 11,349,971",5 rec.,"5
					
						baños",920 m²
1620528314-16400,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-7.html,"Se Vende Residencia en Jurica con 1,000 m² de Terreno, Jardi","MN 10,500,000",3 rec.,"4
					
						baños",1000 m²
1620528298-16367,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,"Preciosa Residencia en Jurica, Alberca Propia, Jardín y Gym","MN 12,500,000",4 rec.,"4
					
						baños",510 m²
1620528253-16316,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,Casa en Ciruelos Col. Jurica Pinar Santiago Querétaro,"MN 2,870,000",3 rec.,"1
					
						baño",231 m²
1620528253-16297,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,"Casa en Venta en Jurica, B865","MN 20,000,000",4 rec.,"5
					
						baños",2220 m²
1620528365-16513,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-2.html,"Casa en Venta en Jurica, D198","MN 6,500,000",3 rec.,"3
					
						baños",664 m²
1620528245-16275,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-12.html,Casa en Jurica Grande Vigilancia 24 Horas en La Mera Entrada a Jurica,"MN 5,700,000",3 rec.,"3
					
						baños",510 m²
1620528210-16197,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-16.html,"Casa en Venta, Jurica","MN 16,000,000",4 rec.,"6
					
						baños",2220 m²
1620528236-16247,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,Venta de Casa en Arcos de Piedra Jurica 3 Recamaras Cuarto de Servicio,"MN 6,200,000",3 rec.,"3
					
						baños",264 m²
1620528253-16315,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,"Casa en Venta en Jurica, B992","MN 13,500,000",4 rec.,"5
					
						baños",1000 m²
1620528338-16455,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,Casa en Jurica,"MN 11,900,000",4 rec.,"4
					
						baños",400 m²
1620528219-16218,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,Amplia Casa en Venta en Jurica Aqc,"MN 3,320,000",3 rec.,"4
					
						baños",210 m²
1620528227-16243,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-14.html,Casa Venta Jurica Queretaro,"MN 5,500,000",5 rec.,"6
					
						baños",510 m²
1620528289-16359,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-9.html,Venta Casas - Jurica - Queretaro,"MN 9,500,000",6 rec.,"6
					
						baños",1250 m²
1620528273-16323,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,"Casa con Alberca en Venta en Fraccionamiento Jurica, Querétaro","MN 12,200,000",3 rec.,"3
					
						baños",1000 m²
1620528201-16167,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-17.html,Casa en Venta en Jurica,"MN 5,300,000",3 rec.,"4
					
						baños",510 m²
1620528374-16536,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-1.html,Casa en Venta - Jurica - Queretaro - C1321,"MN 16,500,000",4 rec.,"4
					
						baños",780 m²
1620528298-16372,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,"Preciosa Residencia de Autor en Jurica, Nueva, Alberca, 4 Re","MN 10,500,000",4 rec.,"4
					
						baños",555 m²
1620528245-16289,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-12.html,"Casa en Venta en Jurica, C425","MN 10,250,000",3 rec.,"3
					
						baños",1000 m²
1620528348-16477,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,Casa en Venta en Jurica de un Nivel,"MN 12,500,000",3 rec.,"3
					
						baños",1100 m²
1620528327-16428,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,"Residencia Premium en Jurica, T.525 m² - C.450 m² - 4 Recámaras, 4 Baños, Jardín","MN 7,990,000",4 rec.,"4
					
						baños",525 m²
1620528327-16433,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,"Estupenda Casa en Venta en Jurica Remodelada, Queretaro","MN 10,900,000",4 rec.,"4
					
						baños",1400 m²
1620528374-16555,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-1.html,Residencial - Casa - Venta en Fraccionamiento Jurica Campestre,"MN 10,000,000",5 rec.,"4
					
						baños",2216 m²
1620528236-16260,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,Casa en Venta en Jurica,"MN 7,100,000",5 rec.,"7
					
						baños",344 m²
1620528327-16421,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,Casa en Venta - Jurica - Queretaro - C1368,"MN 7,100,000",6 rec.,"4
					
						baños",1000 m²
1620528227-16232,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-14.html,Casa en Venta en Privada en Jurica Campestre Queretaro,"MN 16,500,000",5 rec.,"4
					
						baños",780 m²
1620528356-16497,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-3.html,Casa en Venta en Jurica de un Nivel y Seis Habitaciones,"MN 10,000,000",6 rec.,"4
					
						baños",2216 m²
1620528245-16273,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-12.html,Casa en Jurica,"MN 11,900,000",4 rec.,"4
					
						baños",400 m²
1620528201-16159,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-17.html,Casa Jurica,"MN 13,500,000",6 rec.,"6
					
						baños",3771 m²
1620528338-16441,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,Casa en Venta en Jurica,"MN 4,000,000",3 rec.,"4
					
						baños",378 m²
1620528219-16216,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,Venta Espectacular Casa en Jurica con Alberca,"MN 21,850,000",4 rec.,"5
					
						baños",2202 m²
1620528201-16169,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-17.html,Residencial en Venta Jurica Campestre,"MN 6,900,000",4 rec.,"5
					
						baños",370 m²
1620528210-16191,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-16.html,Casa a La Venta en Exclusivo Clúster de Querétaro,"MN 3,000,000",3 rec.,"3
					
						baños",128 m²
1620528289-16355,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-9.html,Venta de Casa en Privada Regency Jurica Queretaro,"MN 16,500,000",3 rec.,"4
					
						baños",780 m²
1620528338-16442,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,"Casa en Venta en Jurica, Querétaro.","MN 5,800,000",3 rec.,"3
					
						baños",550 m²
1620528219-16213,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,"Residencia Modernista a La Venta en Jurica, Querétaro.","MN 13,000,000",4 rec.,"4
					
						baños",652 m²
1620528227-16242,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-14.html,"Casa en Venta en Jurica, Residencia con Alberca","MN 11,350,000",5 rec.,"5
					
						baños",610 m²
1620528338-16446,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,Venta Casa Jurica,"MN 19,000,000",5 rec.,"8
					
						baños",980 m²
1620528298-16388,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,Casa en Ciruelos Col. Jurica Pinar Santiago Querétaro,"MN 2,870,000",3 rec.,"1
					
						baño",231 m²
1620528236-16250,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,"Casa en Venta en Jurica, Querétaro. en Av de un Piso.","MN 7,500,000",3 rec.,"3
					
						baños",1000 m²
1620528327-16424,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,Casa en Venta en Jurica,"MN 12,990,000",4 rec.,"8
					
						baños",2269 m²
1620528356-16492,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-3.html,"Casa en Venta en Arco de Piedra, Jurica","MN 6,200,000",3 rec.,"3
					
						baños",275 m²
1620528348-16482,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,Casa en Venta en Jurica Queretaro,"MN 5,309,000",4 rec.,"4
					
						baños",273 m²
1620528327-16415,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,Casa en Venta Jurica Queretaro Rcv - Cl,"MN 6,300,000",3 rec.,"2
					
						baños",525 m²
1620528298-16384,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,Casa en Venta en Jurica Queretaro,"MN 5,309,000",4 rec.,"4
					
						baños",273 m²
1620528356-16509,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-3.html,Casa de 3 Hab. en Arco de Piedra Jurica,"MN 6,450,000",3 rec.,"3
					
						baños",305 m²
1620528253-16295,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,Casa en Venta en Jurica,"MN 7,100,000",5 rec.,"7
					
						baños",344 m²
1620528374-16546,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-1.html,Casa en Venta de un Sola Piso en Jurica Querétaro,"MN 7,890,000",3 rec.,"1
					
						baño",1367 m²
1620528245-16294,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-12.html,"Preciosa Residencia en Jurica, T.1,770 m² - Jardines, Alberc","MN 18,000,000",3 rec.,"4
					
						baños",1770 m²
1620528253-16301,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,"Casa en Venta en Jurica, D321","MN 12,000,000",3 rec.,"4
					
						baños",740 m²
1620528210-16185,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-16.html,Casa con Terraza en Recámara Principal,"MN 16,500,000",5 rec.,"4
					
						baños",780 m²
1620528374-16551,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-1.html,"Casa en Venta en Jurica, C760","MN 12,500,000",3 rec.,"3
					
						baños",740 m²
1620528298-16379,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,Casa en Venta Jurica 5 Habitaciones,"MN 11,350,019",5 rec.,"5
					
						baños",920 m²
1620528365-16532,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-2.html,"Querétaro Jurica, Venta Súper Agradable y Ecológica Residencia","MN 11,300,000",4 rec.,"4
					
						baños",1358 m²
1620528253-16299,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,Venta Casa Jurica,"MN 8,500,000",3 rec.,"3
					
						baños",232 m²
1620528227-16230,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-14.html,Casa en Venta Jurica 3 Habitaciones,"MN 6,200,081",3 rec.,"3
					
						baños",316 m²
1620528236-16264,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,Casa en Venta en Jurica,"MN 13,900,000",6 rec.,"7
					
						baños",2200 m²
1620528245-16285,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-12.html,"Hermosa Casa en Venta en Jurica, Querétaro","MN 12,800,000",4 rec.,"4
					
						baños",510 m²
1620528338-16458,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,Casa en Venta en Campestre Jurica,"MN 9,800,000",5 rec.,"5
					
						baños",2217 m²
1620528356-16507,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-3.html,Venta Casa Jurica,"MN 13,000,000",4 rec.,"5
					
						baños",650 m²
1620528327-16437,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,Casa en Venta en Jurica,"MN 1,837,000",3 rec.,"1
					
						baño",159 m²
1620528210-16182,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-16.html,Casa en Jurica Grande Vigilancia 24 Horas en La Mera Entrada a Jurica,"MN 5,700,000",3 rec.,"3
					
						baños",510 m²
1620528314-16405,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-7.html,"Hermosa Residencia en Jurica, Nueva, 3recs, 4 Baños, Cto Serv, Estudio, Jardín.","MN 4,750,000",3 rec.,"5
					
						baños",449 m²
1620528273-16329,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,"Estupenda Casa en Jurica, de Oportunidad! C.401 m², Gran U","MN 4,800,000",4 rec.,"3
					
						baños",253 m²
1620528374-16543,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-1.html,"Jurica, Casa de un Nivel en Venta con Terraza y Jacuzzi","MN 12,500,000",4 rec.,"4
					
						baños",1100 m²
1620529030-18207,https://www.inmuebles24.com/casas-en-venta-en-residencial-el-refugio-pagina-17.html,Acogedora Casa en Condominio con Vigilancia. Jurica.,"MN 4,490,000",3 rec.,"2
					
						baños",176 m²
1620528348-16479,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,"Casa con 1,000 m² de Terreno Ideal Para Remodelar, en Venta en Jurica","MN 6,900,000",3 rec.,"3
					
						baños",1000 m²
1620528348-16472,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,"Casa en Venta en Jurica, D228","MN 8,750,000",3 rec.,"4
					
						baños",420 m²
1620528253-16302,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,Venta Casa en Jurica Remodelada con 3 Recamaras y Cuarto de Servicio,"MN 3,320,072",3 rec.,"2
					
						baños",210 m²
1620528253-16298,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,Casa en Venta Jurica Queretaro Rcv - Cl,"MN 6,300,000",3 rec.,"2
					
						baños",525 m²
1620528253-16309,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,Decide Ser Feliz en Esta Hermosa Casa en Venta en Una de Las Mejores Zonas de Queretaro,"MN 6,400,000",5 rec.,"3
					
						baños",644 m²
1620528219-16204,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,Casa en Venta en Jurica,"MN 12,000,000",4 rec.,"5
					
						baños",2220 m²
1620528236-16262,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,Casa en Venta en Jurica,"MN 6,800,000",4 rec.,"5
					
						baños",840 m²
1620528314-16407,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-7.html,Casa en Venta Jurica 3 Habitaciones,"MN 3,320,000",3 rec.,"2
					
						baños",210 m²
1620528236-16265,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,Casa en Venta de un Piso con Alberca y Cuarto de Huéspedes en El Corazón de Jurica,"MN 8,500,000",5 rec.,"4
					
						baños",1000 m²
1620528298-16385,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,Casa en Venta en Jurica,"MN 13,000,000",4 rec.,"5
					
						baños",650 m²
1620528273-16341,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,"Residencia Premium en Jurica, T.525 m² - C.450 m² - 4 Recámaras, 4 Baños, Jardín","MN 7,990,000",4 rec.,"4
					
						baños",525 m²
1620528338-16456,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-5.html,Casa en Venta - Jurica - Queretaro - C1368,"MN 7,100,000",6 rec.,"4
					
						baños",1000 m²
1620528374-16540,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-1.html,Casa en Venta - Jurica - Queretaro - C1291,"MN 9,000,000",3 rec.,"3
					
						baños",1000 m²
1620528356-16493,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-3.html,"Amplia Casa en Jurica Remodelada, con Espacios Funcionales, 1400 m² de Terreno!","MN 10,900,000",4 rec.,"4
					
						baños",1400 m²
1620528219-16215,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,"Preciosa Residencia en Jurica, Alberca Propia, Jardín y Gym","MN 12,500,000",4 rec.,"4
					
						baños",510 m²
1620528365-16534,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-2.html,Casa en Venta - Jurica - Queretaro - C1478,"MN 17,500,000",4 rec.,"4
					
						baños",759 m²
1620528348-16470,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,Residencia de 1 Piso en Venta en Jurica,"MN 11,600,000",3 rec.,"4
					
						baños",1000 m²
1620528289-16344,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-9.html,"Casa en Venta en Jurica, C521","MN 10,000,000",4 rec.,"4
					
						baños",1000 m²
1620528273-16336,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,Jurica Casa con Acabados de Lujo en Venta de 3 Recamaras y 445 M²!,"MN 13,500,072",3 rec.,"4
					
						baños",510 m²
